id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
672,L11a331,1,82,80,0.24073475714007864,11,link_research.db
673,L11a350,1,80,78,0.5171782804784132,11,link_research.db
674,L11a244,1,82,80,0.42921643277594995,11,link_research.db
675,L11a181,1,78,76,0.4215424442675093,11,link_research.db
676,L11a329,1,90,88,0.33020773658707153,11,link_research.db
677,L11a294,1,94,92,0.25286437909426696,11,link_research.db
678,L11a256,1,88,86,0.32025347402308185,11,link_research.db
679,L11a203,1,92,90,0.13532989188660474,11,link_research.db
680,L11a177,1,82,80,0.35877183059390255,11,link_research.db
681,L11a205,1,90,88,0.1947212422637401,11,link_research.db
682,L11a238,1,80,78,0.2970102979641924,11,link_research.db
683,L11a275,1,88,86,0.1307107703509382,11,link_research.db
684,L11a286,1,82,80,0.20825650146126204,11,link_research.db
685,L11a370,1,84,82,0.28556672328900545,11,link_research.db
686,L11a320,1,88,86,0.28975315832912196,11,link_research.db
687,L11a267,1,80,78,0.44502847994659706,11,link_research.db
688,L11a299,1,88,86,0.2593726708090671,11,link_research.db
689,L11a273,1,92,90,0.1989538663956768,11,link_research.db
690,L11a264,1,86,84,0.2662980069850078,11,link_research.db
691,L11a332,1,86,84,0.28992051569747374,11,link_research.db
692,L11a208,1,90,88,0.18977832336241784,11,link_research.db
693,L11a349,1,82,80,0.367533544265894,11,link_research.db
694,L11a258,1,92,90,0.33020773658709857,11,link_research.db
695,L11a197,1,84,82,0.32933315525662366,11,link_research.db
696,L11a276,1,90,88,0.1615126781792557,11,link_research.db
697,L11a351,1,80,78,0.3571118888975922,11,link_research.db
698,L11a390,1,80,78,0.3285469549112315,11,link_research.db
699,L11a287,1,86,84,0.3166251505565175,11,link_research.db
700,L11a201,1,82,80,0.2284403651615865,11,link_research.db
701,L11a314,1,82,80,0.3382089476729833,11,link_research.db
702,L11a340,1,88,86,0.22733500944113053,11,link_research.db
703,L11a352,1,80,78,0.4832405015562406,11,link_research.db
704,L11a369,1,92,90,0.3087216902737697,11,link_research.db
705,L11a319,1,92,90,0.17483328807168483,11,link_research.db
706,L11a225,1,90,88,0.25202007772681173,11,link_research.db
707,L11a371,1,96,94,0.2274867652221107,11,link_research.db
708,L11a217,1,86,84,0.2759098211096709,11,link_research.db
709,L11a284,1,88,86,0.28571261698655503,11,link_research.db
710,L11a293,1,78,76,0.24969394742030304,11,link_research.db
711,L11a306,1,88,86,0.39162527881188414,11,link_research.db
712,L11a410,1,80,78,0.14422749336401158,11,link_research.db
713,L11a334,1,84,82,0.2976132336996482,11,link_research.db
714,L11a228,1,84,82,0.25738580547762224,11,link_research.db
715,L11a372,1,82,80,0.1846158394456987,11,link_research.db
716,L11a360,1,86,84,0.11973811976008515,11,link_research.db
717,L11a278,1,96,94,0.14055523973969325,11,link_research.db
718,L11a295,1,84,82,0.3158786717946879,11,link_research.db
719,L11a307,1,88,86,0.3900285522959346,11,link_research.db
720,L11a223,1,82,80,0.2679491924311215,11,link_research.db
721,L11a245,1,84,82,0.42362898841387525,11,link_research.db
722,L11a237,1,80,78,0.42263826277433975,11,link_research.db
723,L11a222,1,88,86,0.2207880339180665,11,link_research.db
724,L11a304,1,86,84,0.22904341648152207,11,link_research.db
725,L11a354,1,82,80,0.3225497255281218,11,link_research.db
726,L11a248,1,80,78,0.5441514303496382,11,link_research.db
727,L11a326,1,86,84,0.3376734121632828,11,link_research.db
728,L11a389,1,82,80,0.328546954911307,11,link_research.db
729,L11a296,1,92,90,0.20434958123399816,11,link_research.db
730,L11a315,1,86,84,0.26475789804724614,11,link_research.db
731,L11a430,1,84,82,0.3716791328675113,11,link_research.db
732,L11a391,1,90,88,0.20871215252207967,11,link_research.db
733,L11a327,1,92,90,0.20434958123399657,11,link_research.db
734,L11a257,1,88,86,0.3250355995627584,11,link_research.db
735,L11a339,1,86,84,0.18395051595434317,11,link_research.db
736,L11a243,1,82,80,0.3788768345067545,11,link_research.db
737,L11a265,1,88,86,0.32705579797653844,11,link_research.db
738,L11a313,1,88,86,0.20999243190219424,11,link_research.db
739,L11a409,1,84,82,0.22710963903139722,11,link_research.db
740,L11a346,1,84,82,0.2262816615494525,11,link_research.db
741,L11a450,1,88,86,0.34387050956191634,11,link_research.db
742,L11a268,1,84,82,0.4899585345622007,11,link_research.db
743,L11a374,1,88,86,0.2045172669647708,11,link_research.db
744,L11a411,1,90,88,0.1886749087934032,11,link_research.db
745,L11a298,1,80,78,0.15316139297582845,11,link_research.db
746,L11a316,1,88,86,0.2560573507372289,11,link_research.db
747,L11a263,1,90,88,0.26324938204660486,11,link_research.db
748,L11a335,1,82,80,0.46898444599063427,11,link_research.db
749,L11a242,1,86,84,0.29984427588242896,11,link_research.db
750,L11a347,1,84,82,0.3061634282562289,11,link_research.db
751,L11a221,1,88,86,0.25478715502507754,11,link_research.db
752,L11a429,1,82,80,0.3476736988130678,11,link_research.db
753,L11a392,1,80,78,0.3198626873741766,11,link_research.db
754,L11a359,1,90,88,0.33622725352575394,11,link_research.db
755,L11a470,1,86,84,0.2862101783765074,11,link_research.db
756,L11a380,1,86,84,0.2917491131378149,11,link_research.db
757,L11a285,1,90,88,0.33100191388665523,11,link_research.db
758,L11a366,1,90,88,0.2983122492444647,11,link_research.db
759,L11a431,1,84,82,0.3020255963207858,11,link_research.db
760,L11a277,1,82,80,0.11365151031112221,11,link_research.db
761,L11a333,1,86,84,0.41333721174081006,11,link_research.db
762,L11a288,1,92,90,0.2648893404122951,11,link_research.db
763,L11a355,1,94,92,0.23021812494081983,11,link_research.db
