name,knot_sig,dt_code
14ah_00198,oabcadefdghigefbcjklmnihnmlkjvvvvf-Bpya,meajcbnlkdihgf
14ah_00199,oabcdefghijklbcdefmnihnmgjalkvvvvf-pFMd,bghijlnacdmfke
14ah_00200,oabcdeafghijklmbcdenfglkjihmnvvvvf-a8aa,lhjikmnadcbgef
14ah_00201,oabcadebcfghijklmnfedgnmlkjihvvvvf----p,mhnilkjcagfedb
14ah_00202,oabcdeafghijklmbcdenfghilkjmnvvvvf-a8aa,lhijkmnabdcgef
14ah_00203,oabcdefghijkljihmbcdefamnlkngvvvvf-o3Ve,dciglmnkjbhaef
14ah_00204,oabcdeabcfgdehijklmnfghijklmnvvvvf-Zaaa,lmhnijkbdefgac
14ah_00205,oabcadefghijkljmnbcnhilkmgfedvvvvf-F+Np,mlkijdhncefbag
14ah_00206,oabcdefgabchijklmdefgnhmlkjinvvvvf-pWda,kljihmnbdcgaef
14ah_00207,oabcdefghijklmnfghcdebanmlkjivvvvf-d8pa,djihnmklcbagef
14ah_00208,oabcdeafghijkljihgmbcdenlknmfvvvvf-F+Fo,lfejcbkmndiagh
14ah_00209,oabcdefghijklmihnbcdefanmlkjgvvvvf-g2pa,djiglmnkcbhaef
14ah_00210,oabcadefghijklfbcemnlkjihgnmdvvvvf-b+bo,mgkjibnledchaf
14ah_00211,oabcdefghijklmndcbehgfanmlkjivvvvf-d8pa,djihlknmcbaefg
14ah_00212,oabcdefghijklmnhefgdcbalmnijkvvvvf-d8pa,djhinmlkcabfge
14ah_00213,oabcdeafghijklmdenfbcmlkjihgnvvvvf-amda,lkjihnamdcbfge
14ah_00214,oabcdeafghijklmbcdenhgfmlkjinvvvvf-a8aa,lhkjimnbadcgef
14ah_00215,oabcdefghijklmnbcjidefghklanmvvvvf--8-d,bhiklmjnacfdeg
14ah_00216,oabcdefghijklmnbefghidcjanmlkvvvvf-p8-a,cihjmklnbaefgd
14ah_00217,oabcdeafghibedcijklmnghjklmnfvvvvf-5hai,lhenmijkbfgacd
14ah_00218,oabcdefgahijklminbgfedcnhmlkjvvvvf-p8-a,kdjihnmlacbegf
14ah_00219,oabcdefgedcbahijkilmhngfnkjlmvvvvfF+mKd,icghalebdnmfkj
14ah_00220,oabcdeafghijkljmnbcdenfghilkmvvvvf-F+-j,lijkchmnabdefg
14ah_00221,oabcdefghijklmnlefihgjkdcbanmvvvvf--8-d,bhnmjkliadfegc
14ah_00222,oabcdeafgdehijklmnfbcgnmlkjihvvvvf-mada,lhnkjiamfedcgb
14ah_00223,oabcdefghijklmndefghabclmnkjivvvvf-d8pa,efkjialmndbcgh
14ah_00224,oabcdefghijkihlmnfedcbanglkjmvvvvf-MXpa,dgiknmljchbafe
14ah_00225,oabcdefghijklmndefkjihglcbanmvvvvf--8-d,bhnijlkmadgfec
14ah_00226,oabcadefghijklmgnbcnfmhijkledvvvvf-d8dm,mlfjkihnbcdeag
14ah_00227,oabcdefghijklmnbcdihgfejalmnkvvvvf-p8-a,cihjkmlnabdgfe
14ah_00228,oabcdefghijklmnjefihgdcbanmlkvvvvf-p8-a,cihnmkljbaegfd
14ah_00229,oabcadefghijkbclmnlefghijkdmnvvvvf----p,mhijknlfbcdage
14ah_00230,oabcadefghijdbcklmngfejihnmlkvvvvfpadaa,mihjanlkbdcgfe
14ah_00231,oabcdeafghibedcjklmnfghijklmnvvvvf-Wdaa,lhinmjkabefgcd
14ah_00232,oabcdeafghijklmbcdemnilkjnhgfvvvvf-h+bo,lkhigmnjdcbaef
14ah_00233,oabcadefghijklmbcknmlndefghijvvvvf--88p,mjklghnieabcdf
14ah_00234,oabcdefghijklmndefghcbalmnijkvvvvf-d8pa,djhinklmcabfge
14ah_00235,oabcdefgabchijklmfedgnhijklmnvvvvf-pWda,klhijmnbcdgafe
14ah_00236,oabcadefghiejbcjklmnfghinmlkdvvvvfFGhai,mdijfnlkbchgae
14ah_00237,oabcdefghijklmnjklihgbcdefanmvvvvf--8-d,bhlmnkijagfecd
14ah_00238,oabcdefgahijklmbcdefgnhmjklinvvvvf-d8da,kjihlmnabcgdef
14ah_00239,oabcdefghijklmndgfehcbajklmnivvvvf-d8pa,dijhnklmabcgfe
14ah_00240,oabcadefghijklmbcmnghkjilnfedvvvvf-bEao,mlhjignkcdebaf
14ah_00241,oabcadebcfghijklmgnednhijklmfvvvvf-7F7h,mhngjkliadefcb
14ah_00242,oabcadefghijklfbcmnkjihglnmedvvvvf-amam,mljihbnkdcegaf
14ah_00243,oabcdefghijklhgfmdcbamnlkjinevvvvfVd3le,edjignmlkcbhaf
14ah_00244,oabcdeafghijklminbcdenhmlkjgfvvvvf-p8pm,lkejihmnbdcafg
14ah_00245,oabcdeafghijklfdcbemnkjihglnmvvvvf-a8aa,ljihamnkcbdgfe
14ah_00246,oabcadefghijklmknbcnjihmlgfedvvvvf--8pp,mlkifjhndcebag
14ah_00247,oabcdefghijklmndefihgjabcnmlkvvvvf-p8-a,dejiaklmncbfhg
14ah_00248,oabcadefghijkljmnbcnfghilkmedvvvvf-F+Fo,mlijkdhnbcefag
14ah_00249,oabcdefghijklmnjehgfidcbalmnkvvvvf-p8-a,cihnmlkjabefgd
14ah_00250,oabcdefghijklhimnjabcdefglmnkvvvvf-pZ-a,fghimkabclndje
14ah_00251,oabcdeafghijklmdcbemnilkjnhgfvvvvf-h+bo,lkhigmnjdcbafe
14ah_00252,oabcadefghijkelbcmnlfghijkdnmvvvvfFaobc,meijkhnlbcdagf
14ah_00253,oabcadefghijklmbcmnefghkjilndvvvvfFaEai,mhikjgnlbcdeaf
14ah_00254,oabcadefghibcjklmnlkjihgfedmnvvvvf----p,mkjinhlfecbagd
14ah_00255,oabcdefghijhgfklmdcbamlknjinevvvvfVZXJe,eldignmkjchbaf
14ah_00256,oabcdefghijklmnjcdihgfebalmnkvvvvf-p8-a,cihnkmljabdgfe
14ah_00257,oabcadefghijkldbcmnihgfelkjnmvvvvfpamaa,mjihkanlcbedgf
14ah_00258,oabcadefghijklhgfembcnlkjinmdvvvvf-h+ho,mgfkjcblnediah
14ah_00259,oabcdeafghijklmdcbemnglkjihnfvvvvf-b+bi,lhjigmnkdcbafe
14ah_00260,oabcdefghijklmnhijcdefgbanmlkvvvvf-p8-a,cihnlmjkbagdef
14ah_00261,oabcdefgahijklmnjbcdefgilmnkhvvvvf-F4Fi,khjiblmncdaefg
14ah_00262,oabcdeafghijkbcdelmnhijklmngfvvvvf-dpam,lkhimnjbcfgade
14ah_00263,oabcadefghiejbcjklmnhgfinmlkdvvvvfFGhai,mdijfnlkcbhgae
14ah_00264,oabcadefghijklmbcnlmnkjidefghvvvvf--m8p,mkljihnegdabcf
14ah_00265,oabcdefghijklmnbcdifghejanmlkvvvvf-p8-a,cihjklmnbadgfe
14ah_00266,oabcdeafgbcdehijklmnfgjklmnihvvvvf-8aaa,lhmnkijaefgdbc
14ah_00267,oabcdefghijklmnbkhijgfedclanmvvvvf--8-d,bhimljknagfedc
14ah_00268,oabcdefghijhgfedklmkcbnmlnajivvvvf-Zppd,bflihgaedkmcnj
14ah_00269,oabcadefghijklmijknbcnhmlgfedvvvvf--8pp,mlkfgjdincebah
14ah_00270,oabcdefghijklmnbgfedcjihanmlkvvvvf-p8-a,cihjlknmbafedg
14ah_00271,oabcdeafghijklminbcdeghmlkjnfvvvvf-p8pm,lhejikmnbdcafg
14ah_00272,oabcdefghijhgfedklmncblmnkajivvvvf-Zhgc,bflihgaednmcjk
14ah_00273,oabcadefghijklmbcndmjklihgfenvvvvfpamaa,mlkjihnadecbgf
14ah_00274,oabcadefgbchijklmgfnhijklmnedvvvvf----p,mlgnijkbdefhac
14ah_00275,oabcdefghijkabclmfghijknldemnvvvvf--Zpd,ijhlmnbkfagcde
14ah_00276,oabcadefghijklmbcnfglkjihmnedvvvvf-amam,mlhjiknbedcgaf
14ah_00277,oabcadefghijkldbcmlnjknihgfemvvvvfVpTWh,mlkjianedhcbgf
14ah_00278,oabcdeafghijkbcdelmnfkjihglmnvvvvf-apaa,ljihmnkacbfgde
14ah_00279,oabcadefghijklhgfembcnjklinmdvvvvf-h+ho,mgfkjcblndeiah
14ah_00280,oabcdefghijklhgmnfedcnmbajklivvvvf-dZZa,chgnlkiabfmedj
14ah_00281,oabcadefghijkglbclmnjihknmfedvvvvf-bEao,mleijgnkdchbaf
